"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"93",1023055126,1346244324,242,371,9.898,32.697,"General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","OLUSOLA OGUNTOLU","MD","OLANREWAJU","NULL","NULL",1386,1386
"94",1023055126,1194710889,157,270,1.474,10.737,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHRISTOPHER THOMPSON","MD","O","NULL","NULL",1386,1386
"95",1023055126,1730115981,105,139,39.46,51.047,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROHIT PATEL","MD","R","NULL","NULL",1384,1386
"96",1023055126,1679521090,100,210,22.667,44.695,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ANTHONY MELUCH","MD","A","NULL","NULL",1393,1386
"97",1023055126,1518014323,397,791,0.039,0.246,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JACOB DEXHEIMER","MD","C","NULL","NULL",1386,1386
"98",1023055126,1346353299,322,518,13.151,32.051,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","JAMES SIKES","MD","GREGORY","NULL","NULL",1386,1386
"99",1023055126,1245300391,67,94,29.436,37.581,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JOHN SHAW","M.D.","T","NULL","NULL",1386,1386
"100",1023055126,1770774754,499,686,2.684,18.84,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","OLUMUYIWA ESURUOSO","M.D.","ABOLADE","NULL","NULL",1386,1386
"101",1023055126,1548317498,310,447,13.765,37.013,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","JAMES WILBECK","MD","C","NULL","NULL",1387,1386
"102",1023055126,1073505830,91,159,24.843,38.347,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","STANLEY LEE","M.D.","M.","NULL","NULL",1390,1386
